cgpa,aptitude_score,technical_skills,internships,projects,communication_score,backlogs,certifications,placed
9.14,61,10,3,1,10,1,1,1
7.59,75,9,1,0,4,3,2,0
9.44,40,6,2,0,10,0,1,1
5.05,91,3,1,4,5,3,5,0
5.81,56,7,2,3,6,0,2,0
5.87,42,10,1,0,4,2,3,0
8.24,42,4,2,5,6,3,1,0
6.94,49,5,2,5,6,3,4,0
5.87,52,9,2,3,7,1,2,0
7.79,56,9,3,4,4,1,0,1
5.49,93,4,1,5,6,3,0,0
8.61,45,4,0,4,10,1,4,1
5.84,71,5,1,5,6,3,2,0
8.86,61,10,1,5,8,0,2,1
5.12,78,6,3,5,5,1,1,0
5.7,68,2,1,2,5,0,1,0
9.16,50,9,2,1,9,0,2,1
6.46,92,4,3,0,5,3,0,0
5.37,53,8,2,2,5,3,2,0
6.93,79,10,1,5,8,1,5,1
5.2,83,9,3,0,8,0,5,1
7.24,66,5,0,3,7,2,5,0
8.1,57,5,2,0,7,3,2,0
6.56,87,5,2,2,5,1,1,0
6.49,73,7,1,0,4,1,1,0
9.18,62,6,3,0,5,0,2,1
5.26,61,9,1,3,7,2,5,0
6.26,61,4,1,2,5,1,5,0
7.31,71,7,1,2,10,1,4,1
7.84,54,7,1,2,4,3,2,0
8.15,41,9,3,2,5,2,4,1
6.56,52,4,3,2,5,2,2,0
7.21,52,10,1,5,9,3,1,1
5.65,60,8,3,2,5,1,5,0
5.44,45,8,2,0,4,2,3,0
8.37,87,7,3,0,10,2,0,1
7.38,62,6,1,5,8,1,2,1
6.16,62,6,1,1,8,1,1,0
5.13,51,10,3,5,10,0,4,1
7.48,54,8,3,5,8,0,1,1
8.78,59,7,2,0,9,3,0,0
5.29,53,10,0,5,4,1,4,0
9.1,85,7,0,4,6,2,0,1
7.19,50,10,2,5,7,0,5,1
6.15,63,8,0,1,8,1,1,0
6.27,93,4,0,2,8,3,4,0
6.7,86,8,1,0,6,2,5,0
8.27,62,3,0,5,4,0,4,0
8.93,93,2,3,5,6,3,0,0
6.98,95,5,3,0,8,2,5,1
7.04,85,5,2,1,4,2,3,0
9.14,43,2,0,5,5,2,3,0
7.71,55,3,1,5,8,0,5,1
6.96,75,9,2,0,6,2,3,0
5.23,67,5,0,4,10,1,0,0
5.27,43,8,0,3,7,0,2,0
7.29,48,9,0,4,7,2,0,0
5.59,86,7,1,3,6,2,4,0
7.15,77,3,0,4,10,3,4,0
5.31,92,9,1,2,9,3,1,0
8.43,52,3,3,3,6,3,5,0
6.11,47,5,0,3,8,1,5,0
8.34,94,2,3,5,9,2,4,1
7.64,74,8,2,0,4,2,4,0
7.66,81,6,0,5,9,3,5,1
5.11,70,4,0,2,5,2,3,0
5.38,65,6,3,2,8,2,4,0
9.19,57,9,0,5,9,0,0,1
5.77,44,4,1,3,9,2,3,0
8.81,43,2,0,3,9,3,1,0
5.3,67,10,2,1,4,2,0,0
9.03,53,5,0,3,6,2,3,0
5.24,89,2,0,2,5,2,2,0
5.08,89,9,3,4,5,1,3,1
7.97,43,6,2,4,7,1,1,1
6.68,48,4,2,3,4,1,2,0
8.21,49,8,2,2,8,1,4,1
7.73,94,4,1,3,7,2,0,0
7.27,88,7,3,2,4,0,5,1
7.11,52,2,2,5,10,1,4,0
8.68,52,4,0,3,7,2,4,0
6.42,93,7,3,5,8,2,2,1
8.68,71,6,3,4,10,0,2,1
6.29,50,6,1,2,6,0,4,0
5.47,61,2,2,0,8,0,2,0
6.17,53,6,1,0,6,0,1,0
8.75,74,4,2,1,7,1,5,1
6.07,84,10,3,5,4,2,0,1
8.69,58,8,2,3,5,0,4,1
7.98,92,7,2,4,6,1,4,1
7.54,61,7,2,4,10,1,0,1
5.68,64,9,1,0,9,1,3,0
6.62,75,10,2,5,6,3,0,0
7.78,66,5,2,0,4,0,5,0
5.26,93,9,1,0,8,0,0,0
7.17,64,4,1,5,10,1,3,1
6.28,54,9,1,0,7,2,2,0
8.41,84,3,3,5,5,1,4,1
9.2,67,3,3,1,10,1,1,1
6.21,51,10,2,2,4,2,5,0
8.59,58,2,3,3,10,0,4,1
6.3,46,8,2,0,4,3,1,0
7.18,44,4,0,0,4,3,2,0
5.09,52,4,2,5,5,2,5,0
6.21,74,2,2,5,5,2,5,0
8.7,86,8,1,5,5,1,4,1
6.47,43,7,1,3,6,0,0,0
5.17,62,6,1,3,6,1,5,0
7.68,93,9,1,5,5,0,1,1
8.43,63,9,1,3,5,1,1,1
7.78,76,2,0,5,6,2,5,0
5.56,53,10,0,0,6,1,0,0
8.09,49,3,3,3,6,0,4,1
8.28,49,10,0,1,8,3,2,0
9.41,43,5,2,5,7,0,5,1
6.27,40,8,1,4,9,2,3,0
7.28,64,4,3,4,7,2,3,0
5.64,53,5,0,2,7,3,0,0
8.28,40,2,0,3,8,0,5,0
7.79,58,10,2,0,7,2,5,1
5.42,93,10,0,5,5,3,5,0
6.61,82,10,0,1,8,0,0,1
6.82,81,6,0,3,5,0,2,0
7.82,88,4,2,4,4,0,2,1
5.92,75,5,1,1,4,1,0,0
6.59,66,8,2,0,10,0,5,1
7.77,95,9,2,2,5,2,0,1
7.38,41,8,2,1,7,0,5,1
7.89,55,3,0,0,4,0,0,0
5.27,79,3,3,1,9,0,5,0
5.65,68,3,2,5,9,3,3,0
5.52,41,5,2,5,7,0,1,0
5.56,51,5,3,0,9,3,4,0
6.28,41,4,2,0,10,0,5,0
8.78,64,9,3,5,4,0,1,1
6.79,65,4,2,2,6,2,0,0
5.81,88,10,2,0,7,0,5,1
6.17,46,6,1,0,10,3,1,0
7.8,80,4,2,3,8,1,4,1
8.87,95,6,1,2,9,2,2,1
6.08,77,3,1,5,5,2,4,0
6.44,79,9,2,3,6,1,5,1
7.42,44,5,3,2,5,3,4,0
5.37,92,4,2,5,8,3,5,0
5.93,82,4,0,5,10,0,3,1
5.91,48,9,0,3,7,0,2,0
7.17,91,3,0,0,9,3,0,0
5.69,86,10,0,3,4,3,3,0
7.45,63,6,0,5,4,2,2,0
7.09,71,5,2,3,7,1,4,1
8.78,44,4,0,5,9,1,3,1
8.48,75,2,1,4,8,0,2,1
8.84,52,5,3,3,7,2,1,1
8.67,86,7,1,2,10,3,5,1
8.45,72,5,2,3,10,2,4,1
5.47,70,3,3,5,4,2,3,0
9.41,45,2,0,3,4,2,3,0
7.13,77,6,3,2,4,3,0,0
8.48,56,8,1,0,9,2,5,1
6.9,72,3,0,1,7,3,3,0
8.79,46,2,2,5,7,2,1,0
9.41,49,4,0,5,7,3,2,0
7.81,75,3,3,1,10,3,5,0
6.41,55,6,0,5,7,2,4,0
7.82,71,10,3,4,4,2,0,1
7.44,81,3,2,4,6,1,4,1
8.19,67,4,3,4,4,3,2,0
7.31,81,8,0,0,7,0,2,1
5.54,79,7,0,3,8,0,0,0
8.56,94,6,3,1,9,1,1,1
8.26,68,3,1,4,6,1,5,1
9.23,67,5,0,2,7,3,1,0
9.17,91,10,3,4,8,0,4,1
5.94,59,4,0,5,9,2,2,0
8.77,48,5,1,3,7,1,3,1
6.88,85,2,3,4,6,2,2,0
8.78,46,10,2,5,7,0,4,1
8.38,42,3,0,2,10,3,0,0
7.88,70,10,2,1,5,0,2,1
6.21,93,9,0,5,4,1,4,1
7.84,79,4,2,3,6,0,1,1
7.65,76,8,1,2,7,2,4,1
8.69,82,3,0,1,4,3,4,0
5.51,74,3,1,3,10,2,3,0
6.08,43,10,2,3,4,2,0,0
7.93,91,4,0,2,10,3,1,0
8.49,56,9,3,1,8,2,3,1
8.02,65,6,3,5,10,1,4,1
8.11,82,10,2,1,6,2,2,1
5.51,58,10,2,5,10,2,3,1
9.12,91,7,3,0,4,2,1,1
5.54,77,3,2,1,6,1,1,0
6.22,44,10,1,3,10,2,4,1
8.78,77,8,1,4,8,0,2,1
8.59,42,7,2,1,10,3,5,1
7.47,87,3,3,4,7,3,2,0
8.34,79,3,3,1,7,2,5,1
6.32,81,10,3,0,10,3,1,1
9.15,83,3,1,5,7,1,4,1
8.38,43,9,3,2,6,3,1,0
5.47,76,3,2,3,8,1,4,0
7.41,43,5,2,3,10,2,0,0
5.06,51,8,3,4,10,2,2,0
6.78,67,9,0,5,8,2,0,0
7.98,70,9,3,1,10,3,2,1
7.62,78,7,2,0,9,3,4,0
6.17,42,3,1,5,10,1,0,0
6.42,44,4,2,1,4,3,5,0
7.21,67,4,0,0,10,2,2,0
7.57,47,10,0,3,6,2,3,0
9.45,52,3,2,4,8,3,4,1
5.83,57,9,2,2,7,0,3,1
6.37,68,2,1,2,9,1,0,0
8.55,92,10,0,2,10,0,2,1
6.48,67,5,2,3,7,2,1,0
8.21,47,7,3,1,10,3,2,1
7.1,40,8,3,3,5,3,3,0
5.2,63,10,1,4,5,2,3,0
6.2,92,3,3,3,8,2,4,0
6.83,62,10,3,1,10,2,0,1
5.08,93,9,0,4,8,3,3,0
8.05,78,9,3,3,5,3,0,1
5.44,61,3,0,2,8,3,0,0
7.66,89,6,0,3,8,1,0,1
8.8,47,5,3,3,9,1,0,1
6.55,70,3,2,0,4,0,3,0
6.83,93,4,3,2,7,2,2,0
8.27,95,3,1,3,4,1,4,0
6.74,83,2,0,4,5,2,4,0
8.08,70,4,2,0,5,0,1,0
8.67,94,8,1,5,7,1,5,1
7.27,88,10,0,0,10,0,4,1
8.24,52,2,0,1,4,1,3,0
7.56,59,6,1,1,9,1,4,1
8.09,85,2,0,5,8,1,1,0
6.69,62,3,1,4,10,2,4,0
6.48,95,7,3,3,7,2,3,1
6.79,43,8,0,5,5,1,3,0
8.54,61,5,0,1,4,1,1,0
8.65,62,7,2,1,7,0,2,1
7.96,73,3,3,5,6,2,0,0
5.53,59,2,3,1,8,3,5,0
6.31,75,3,0,3,9,3,5,0
5.88,51,2,0,0,9,3,3,0
6.07,43,5,3,1,10,3,1,0
5.65,41,8,1,1,6,2,2,0
8.84,61,7,3,0,8,2,4,1
8.36,59,9,2,0,9,3,3,1
7.87,50,3,1,3,4,0,5,0
7.4,45,9,3,2,6,3,2,0
8.37,94,5,3,5,7,2,0,1
6.73,50,9,2,2,4,0,2,1
7.42,48,10,0,3,6,1,3,1
6.38,41,8,0,0,4,3,5,0
7.41,54,8,0,5,5,3,1,0
5.45,59,5,2,4,7,2,5,0
5.16,51,9,2,1,9,3,4,0
8.21,75,8,2,0,5,0,3,1
8.63,49,8,1,1,4,2,4,0
8.85,79,4,3,1,8,1,0,1
5.55,93,10,2,3,7,1,0,1
7.9,76,10,1,2,6,3,5,1
5.83,68,8,3,3,4,3,1,0
7.32,65,5,0,4,7,2,1,0
8.37,87,5,3,1,6,0,0,1
8.74,95,8,1,2,9,3,5,1
9.29,80,4,3,5,6,0,1,1
9.01,53,3,3,4,4,1,0,0
5.15,68,3,1,0,5,0,4,0
6.63,49,6,3,1,5,1,5,0
5.76,61,5,1,4,10,0,3,0
8.66,75,9,2,2,10,1,5,1
9.22,55,9,0,5,9,0,3,1
8.2,59,10,2,1,10,2,5,1
6.65,49,8,0,1,7,3,5,0
8.28,58,3,3,1,5,2,3,0
8.77,48,7,0,3,10,3,2,0
6.66,49,9,1,1,10,3,3,0
5.8,68,5,2,4,4,2,3,0
8.57,60,6,2,2,6,2,5,1
8.37,79,5,2,2,4,1,3,1
5.97,89,4,3,3,10,1,3,1
6.18,85,2,3,5,5,0,1,0
7.96,93,8,2,5,10,3,0,1
7.49,65,6,2,4,6,3,2,0
7.96,88,2,0,0,8,0,5,0
6.74,94,3,3,2,4,0,2,0
8.21,63,6,2,1,9,3,3,0
5.82,47,3,0,1,9,1,4,0
5.5,69,10,1,3,9,3,4,0
9.36,46,6,0,5,10,3,3,1
5.7,78,9,1,2,4,3,5,0
5.47,62,7,0,2,10,0,5,0
7.7,49,9,1,2,5,2,0,0
7.6,59,3,2,4,10,1,4,1
6.21,59,3,0,0,4,0,2,0
7.37,70,7,0,1,8,3,0,0
8.38,43,4,2,4,9,0,4,1
5.91,90,6,3,4,5,3,2,0
7.67,47,10,3,0,5,2,4,1
6.18,59,5,0,1,8,1,2,0
6.32,62,7,1,3,4,1,1,0
8.74,93,9,3,3,8,0,4,1
9.39,57,5,0,2,6,3,1,0
8.28,55,5,1,1,7,2,5,0
7.3,40,8,2,1,9,3,1,0
6.43,92,10,0,5,9,2,4,1
8.08,77,4,2,3,8,3,5,0
5.21,91,8,1,3,8,1,0,0
8.13,94,8,0,2,5,3,3,0
9.22,89,4,3,2,9,3,3,1
7.89,55,9,2,1,8,1,3,1
6.43,66,2,0,0,10,0,5,0
8.35,40,8,3,4,6,1,0,1
5.55,47,4,3,1,8,3,1,0
5.84,87,7,3,3,9,0,3,1
6.23,78,9,3,0,4,3,2,0
7.11,48,5,3,3,9,2,4,0
6.09,64,3,1,1,5,3,0,0
5.38,68,8,3,3,6,2,4,0
8.98,55,7,0,2,5,0,3,1
8.36,93,9,3,5,8,1,4,1
7.45,79,5,3,3,6,2,2,0
8.86,54,6,0,0,10,3,3,0
8.12,48,10,0,0,7,1,3,1
8.52,90,4,0,3,8,3,2,0
8.9,59,8,1,3,4,0,5,1
7.21,72,5,3,0,9,2,1,0
9.0,60,5,3,1,4,0,1,1
6.5,49,7,2,3,5,2,4,0
8.07,94,3,2,3,4,2,4,0
8.05,56,4,1,3,7,3,2,0
8.13,55,4,3,0,4,3,0,0
6.03,51,3,3,0,10,2,0,0
5.47,49,9,1,3,5,3,3,0
5.2,79,4,0,5,7,0,5,0
5.68,84,6,2,3,4,0,5,0
8.77,79,10,1,2,6,1,4,1
8.24,61,5,2,2,10,0,3,1
8.79,43,4,0,1,10,2,3,0
7.15,86,8,2,5,9,1,4,1
8.66,47,8,2,5,9,2,5,1
6.1,79,3,0,1,7,2,0,0
7.85,51,8,2,1,4,0,5,1
6.19,81,5,0,0,10,0,3,0
8.01,76,7,0,0,8,1,0,0
9.44,86,6,1,1,6,2,5,1
8.08,42,4,2,1,5,3,4,0
8.75,56,5,2,5,9,1,1,1
6.64,55,3,1,1,5,3,4,0
6.08,67,4,3,5,7,0,1,0
5.81,93,9,1,5,4,3,2,0
5.56,89,3,3,5,4,3,2,0
7.39,48,2,1,4,5,0,2,0
8.55,58,5,0,2,7,2,3,0
8.4,66,3,0,0,5,0,3,0
7.3,95,9,3,1,4,0,5,1
6.34,62,4,2,0,6,3,3,0
8.95,42,5,2,4,10,0,3,1
8.98,93,10,0,3,9,3,0,1
7.39,42,3,2,3,6,3,0,0
5.41,85,9,2,1,4,2,0,0
5.02,80,4,1,0,9,2,3,0
5.15,79,10,1,5,9,3,4,0
5.94,45,7,2,5,5,0,1,0
5.22,59,10,0,4,4,3,1,0
5.22,82,6,0,5,6,2,0,0
8.79,50,2,3,3,8,0,4,1
6.71,59,4,0,4,10,3,5,0
5.7,70,5,1,0,7,3,2,0
9.15,91,4,3,4,6,0,4,1
5.81,67,2,0,3,9,3,0,0
8.51,55,3,0,0,4,0,4,0
8.81,54,9,3,3,7,1,3,1
7.36,92,4,0,4,4,1,1,0
7.29,56,2,3,4,6,1,0,0
5.48,80,4,0,3,5,2,5,0
6.72,69,6,2,5,10,1,2,1
9.27,87,8,3,1,4,2,4,1
9.24,44,2,2,4,6,2,5,0
8.2,46,4,2,1,4,3,0,0
6.78,72,8,3,5,6,3,0,0
7.26,41,5,1,3,4,3,4,0
7.21,49,3,0,0,7,1,2,0
9.46,73,6,3,4,5,2,0,1
8.57,48,2,3,3,8,2,1,0
7.25,83,6,1,2,9,0,3,1
6.56,71,3,3,4,10,0,1,1
5.99,87,3,0,0,7,0,5,0
7.51,65,9,2,0,7,0,4,1
5.44,82,8,0,1,6,3,0,0
5.07,77,7,0,2,4,0,0,0
5.81,92,5,0,4,5,3,4,0
9.22,65,6,2,1,8,2,2,1
5.09,50,2,0,2,8,3,1,0
7.13,80,5,1,2,6,3,3,0
8.32,52,7,2,2,4,3,4,0
5.01,41,4,3,2,9,3,5,0
7.17,65,10,2,2,6,3,1,0
6.2,94,5,3,2,5,3,2,0
5.8,65,2,2,1,7,3,2,0
6.8,69,2,0,2,9,3,2,0
8.46,87,9,2,0,4,3,4,1
6.51,93,5,3,4,10,1,4,1
7.32,92,10,0,2,7,3,0,0
5.92,70,3,1,5,9,2,4,0
7.16,83,9,0,2,8,1,3,1
7.94,68,8,0,1,9,3,3,0
6.15,83,10,2,3,5,1,0,1
5.41,59,7,0,3,9,3,1,0
7.95,55,8,0,1,6,2,5,0
5.16,82,6,1,5,7,0,3,0
8.02,58,3,0,5,7,2,1,0
7.03,46,2,3,1,9,0,0,0
8.36,67,6,0,0,10,3,0,0
6.26,82,5,3,5,10,3,0,0
5.35,61,5,1,0,10,3,2,0
5.78,55,4,0,4,9,3,1,0
